Date,AAPL,QQQ,SPY,TSLA
2018-05-21,45.219818,164.372482,256.983154,56.897999
2018-05-22,45.106548,164.157761,256.268707,55.001999
2018-05-23,45.395741,165.543839,256.973755,55.813999
2018-05-24,45.345131,165.49501,256.447327,55.57
2018-05-25,45.448769,165.66095,255.836304,55.77
2018-05-29,45.284882,164.928879,252.893967,56.751999
2018-05-30,45.188477,166.109955,256.268707,58.344002
2018-05-31,45.036648,166.002563,254.698837,56.945999
2018-06-01,45.848846,168.608719,257.199402,58.363998
2018-06-04,46.232029,170.131409,258.421448,59.348
2018-06-05,46.588726,170.658478,258.609497,58.226002
2018-06-06,46.750198,171.654083,260.771606,63.900002
2018-06-07,46.624882,170.258316,260.743378,63.217999
2018-06-08,46.200706,170.268066,261.514252,63.532001
2018-06-11,46.08744,170.726807,261.862122,66.419998
2018-06-12,46.340492,171.624832,262.200562,68.554001
2018-06-13,45.959698,171.615082,261.363831,68.956001
2018-06-14,45.983807,173.352493,262.021851,71.543999
2018-06-15,45.511433,172.747299,261.687622,71.634003
2018-06-18,45.487335,172.647537,261.149353,74.166
2018-06-19,44.75227,172.158447,260.148468,70.510002
2018-06-20,44.947483,173.381165,260.592224,72.444
2018-06-21,44.696838,171.874786,258.958618,69.501999
2018-06-22,44.566696,171.493301,259.430786,66.725998
2018-06-25,43.903923,167.629501,255.8992,66.601997
2018-06-26,44.448601,168.314255,256.465668,68.400002
2018-06-27,44.38353,166.025299,254.341141,68.900002
2018-06-28,44.70647,167.453445,255.795349,69.986
2018-06-29,44.612488,167.903366,256.163544,68.589996
2018-07-02,45.11137,169.02829,256.711243,67.014
2018-07-03,44.325691,167.071945,255.804749,62.172001
2018-07-05,44.682381,169.145645,257.891571,61.832001
2018-07-06,45.301758,171.776962,260.072876,61.779999
2018-07-09,45.930782,173.322464,262.414673,63.702
2018-07-10,45.875355,173.449661,263.358978,64.494003
2018-07-11,45.280064,172.569275,261.432648,63.792
2018-07-12,46.039238,175.542923,263.802765,63.341999
2018-07-13,46.111534,175.689667,264.010529,63.773998
2018-07-16,46.010315,175.269028,263.774475,62.02
