symbol,group,name
AMRN,NASDAQ Global Market,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
AMRS,NASDAQ Global Select Market,"Amyris, Inc. - Common Stock"
AMSC,NASDAQ Global Select Market,American Superconductor Corporation - Common Stock
AMSF,NASDAQ Global Select Market,"AMERISAFE, Inc. - Common Stock"
AMSG,NASDAQ Global Select Market,Amsurg Corp. - Common Stock
AMSGP,NASDAQ Global Select Market,"Amsurg Corp. - 5.250% Mandatory Convertible Preferred Stock, Series A-1"
AMSWA,NASDAQ Global Select Market,"American Software, Inc. - Class A Common Stock"
AMTX,NASDAQ Global Market,"Aemetis, Inc - Common Stock"
AMWD,NASDAQ Global Select Market,American Woodmark Corporation - Common Stock
AMZN,NASDAQ Global Select Market,"Amazon.com, Inc. - Common Stock"
ANAC,NASDAQ Global Market,"Anacor Pharmaceuticals, Inc. - Common Stock"
ANAD,NASDAQ Global Select Market,"ANADIGICS, Inc. - Common Stock"
ANAT,NASDAQ Global Select Market,American National Insurance Company - Common Stock
ANCB,NASDAQ Global Market,Anchor Bancorp - Common Stock
ANCI,NASDAQ Capital Market,American Caresource Holdings Inc - Common Stock
ANCX,NASDAQ Global Market,Access National Corporation - Common Stock
ANDE,NASDAQ Global Select Market,"The Andersons, Inc. - Common Stock"
ANGI,NASDAQ Global Select Market,"Angie's List, Inc. - Common Stock"
ANGO,NASDAQ Global Select Market,"AngioDynamics, Inc. - Common Stock"
ANIK,NASDAQ Global Select Market,Anika Therapeutics Inc. - Common Stock
ANIP,NASDAQ Global Market,"ANI Pharmaceuticals, Inc. - Common Stock"
ANSS,NASDAQ Global Select Market,"ANSYS, Inc. - Common Stock"
ANTH,NASDAQ Global Market,"Anthera Pharmaceuticals, Inc. - Common Stock"
ANY,NASDAQ Global Market,Sphere 3D Corp - Common Shares
AOSL,NASDAQ Global Select Market,Alpha and Omega Semiconductor Limited - Common Shares
APAGF,NASDAQ Capital Market,Apco Oil and Gas International Inc. - Ordinary Shares
APDN,NASDAQ Capital Market,Applied DNA Sciences Inc - Common Stock
APDNW,NASDAQ Capital Market,Applied DNA Sciences Inc - Warrant
APEI,NASDAQ Global Select Market,"American Public Education, Inc. - Common Stock"
APOG,NASDAQ Global Select Market,"Apogee Enterprises, Inc. - Common Stock"
APOL,NASDAQ Global Select Market,"Apollo Education Group, Inc. - Class A Common Stock"
APPY,NASDAQ Capital Market,"Venaxis, Inc. - Common Stock"
APRI,NASDAQ Capital Market,"Apricus Biosciences, Inc - Common Stock"
APSA,NASDAQ Global Select Market,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock"
APTO,NASDAQ Capital Market,"Aptose Biosciences, Inc. - Common Shares"
APWC,NASDAQ Global Market,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share"
AQXP,NASDAQ Global Market,"Aquinox Pharmaceuticals, Inc. - Common Stock"
ARAY,NASDAQ Global Select Market,Accuray Incorporated - Common Stock
ARCB,NASDAQ Global Select Market,ArcBest Corporation - Common Stock
ARCC,NASDAQ Global Select Market,Ares Capital Corporation - Closed End Fund
ARCI,NASDAQ Capital Market,"Appliance Recycling Centers of America, Inc. - Common Stock"
ARCP,NASDAQ Global Select Market,"American Realty Capital Properties, Inc. - Common Stock"
ARCPP,NASDAQ Global Select Market,"American Realty Capital Properties, Inc. - 6.70% Series F Cumulative Redeemable Preferred Stock"
ARCW,NASDAQ Capital Market,"ARC Group Worldwide, Inc. - Common Stock"
ARDM,NASDAQ Capital Market,Aradigm Corporation - Common Stock
ARDX,NASDAQ Global Market,"Ardelyx, Inc. - Common Stock"
AREX,NASDAQ Global Select Market,Approach Resources Inc. - Common Stock
ARGS,NASDAQ Global Market,"Argos Therapeutics, Inc. - Common Stock"
ARIA,NASDAQ Global Select Market,"ARIAD Pharmaceuticals, Inc. - Common Stock"
ARII,NASDAQ Global Select Market,"American Railcar Industries, Inc. - Common Stock"
ARIS,NASDAQ Capital Market,"ARI Network Services, Inc. - Common Stock"
ARKR,NASDAQ Global Market,Ark Restaurants Corp. - Common Stock
ARLP,NASDAQ Global Select Market,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
ARMH,NASDAQ Global Select Market,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares
ARNA,NASDAQ Global Select Market,"Arena Pharmaceuticals, Inc. - Common Stock"
AROW,NASDAQ Global Select Market,Arrow Financial Corporation - Common Stock
ARQL,NASDAQ Global Market,"ArQule, Inc. - Common Stock"
ARRS,NASDAQ Global Select Market,"ARRIS Group, Inc. - Common Stock"
ARRY,NASDAQ Global Market,Array BioPharma Inc. - Common Stock
ARTNA,NASDAQ Global Select Market,Artesian Resources Corporation - Class A Non-Voting Common Stock
ARTW,NASDAQ Capital Market,"Art's-Way Manufacturing Co., Inc. - Common Stock"
ARTX,NASDAQ Global Market,Arotech Corporation - Common Stock
ARUN,NASDAQ Global Select Market,"Aruba Networks, Inc. - Common Stock"
ARWR,NASDAQ Global Select Market,Arrowhead Research Corporation - Common Stock
ASBB,NASDAQ Global Market,"ASB Bancorp, Inc. - Common Stock"
ASBI,NASDAQ Capital Market,Ameriana Bancorp - Common Stock
ASCMA,NASDAQ Global Select Market,"Ascent Capital Group, Inc. - Series A Common Stock"
ASEI,NASDAQ Global Select Market,"American Science and Engineering, Inc. - Common Stock"
ASFI,NASDAQ Global Select Market,"Asta Funding, Inc. - Common Stock"
ASMB,NASDAQ Capital Market,"Assembly Biosciences, Inc. - Common Stock"
ASMI,NASDAQ Global Select Market,ASM International N.V. - Common Shares
ASML,NASDAQ Global Select Market,ASML Holding N.V. - ADS represents 1 ordinary share
ASNA,NASDAQ Global Select Market,"Ascena Retail Group, Inc. - Common Stock"
ASPS,NASDAQ Global Select Market,Altisource Portfolio Solutions S.A. - Common Stock
ASPX,NASDAQ Global Market,"Auspex Pharmaceuticals, Inc. - Common Stock"
ASRV,NASDAQ Global Market,AmeriServ Financial Inc. - Common Stock
ASRVP,NASDAQ Global Market,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A"
ASTC,NASDAQ Capital Market,Astrotech Corporation - Common Stock
ASTE,NASDAQ Global Select Market,"Astec Industries, Inc. - Common Stock"
ASTI,NASDAQ Capital Market,"Ascent Solar Technologies, Inc. - Common Stock"
ASUR,NASDAQ Capital Market,Asure Software Inc - Common Stock
ASYS,NASDAQ Global Select Market,"Amtech Systems, Inc. - Common Stock"
ATAI,NASDAQ Global Market,"ATA Inc. - American Depositary Shares, each representing two common shares"
ATAX,NASDAQ Global Select Market,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
ATEA,NASDAQ Capital Market,"Astea International, Inc. - Common Stock"
ATEC,NASDAQ Global Select Market,"Alphatec Holdings, Inc. - Common Stock"
ATHN,NASDAQ Global Select Market,"athenahealth, Inc. - Common Stock"
ATHX,NASDAQ Capital Market,"Athersys, Inc. - Common Stock"
ATLC,NASDAQ Global Select Market,Atlanticus Holdings Corporation - Common Stock
ATLO,NASDAQ Capital Market,Ames National Corporation - Common Stock
ATML,NASDAQ Global Select Market,Atmel Corporation - Common Stock
ATNI,NASDAQ Global Select Market,"Atlantic Tele-Network, Inc. - Common Stock"
ATNY,NASDAQ Capital Market,API Technologies Corp. - Common Stock
ATOS,NASDAQ Capital Market,Atossa Genetics Inc. - Common Stock
ATRA,NASDAQ Global Select Market,"Atara Biotherapeutics, Inc. - Common Stock"
ATRC,NASDAQ Global Market,"AtriCure, Inc. - Common Stock"
ATRI,NASDAQ Global Select Market,ATRION Corporation - Common Stock
ATRM,NASDAQ Capital Market,"ATRM Holdings, Inc. - Common Stock"
ATRO,NASDAQ Global Select Market,Astronics Corporation - Common Stock
ATRS,NASDAQ Capital Market,"Antares Pharma, Inc. - Common Stock"
ATSG,NASDAQ Global Select Market,"Air Transport Services Group, Inc - Common Stock"
ATTU,NASDAQ Capital Market,Attunity Ltd. - Ordinary Shares
ATVI,NASDAQ Global Select Market,"Activision Blizzard, Inc - Common Stock"
AUBN,NASDAQ Global Market,"Auburn National Bancorporation, Inc. - Common Stock"
