symbol,group,description
BLPH,US Equity,BELLEROPHON THERAPEUTICS INC
BLUE,US Equity,BLUEBIRD BIO INC
BMCH,US Equity,Bmc Stk Hldgs Inc
BMI,US Equity,Badger Meter Inc.
BMRC,US Equity,Bank of Marin Bancorp
BMRN,US Equity,BioMarin Pharmaceutical Inc.
BMS,US Equity,Bemis Co. Inc.
BMTC,US Equity,Bryn Mawr Bank Corp.
BMY,US Equity,Bristol-Myers Squibb Co.
BNCL,US Equity,Beneficial Mutual Bancorp Inc.
BNCN,US Equity,BNC Bancorp
BNED,US Equity,BARNES & NOBLE ED INC COM
BNFT,US Equity,BENEFITFOCUS INC
BOBE,US Equity,Bob Evans Farms Inc.
BOFI,US Equity,BofI Holding Inc.
BOH,US Equity,Bank of Hawaii Corp.
BOJA,US Equity,BOJANGLES INC
BOKF,US Equity,BOK Financial Corp.
BOLD,US Equity,AUDENTES THERAPEUTICS INC
BONT,US Equity,Bon-Ton Stores Inc.
BOOM,US Equity,Dmc Global Inc
BOOT,US Equity,BOOT BARN HLDGS INC
BOX,US Equity,Box Inc
BPFH,US Equity,Boston Private Financial Holdings Inc.
BPI,US Equity,BRIDGEPOINT ED INC
BPL,US Equity,Buckeye Partners L.P.
BPMC,US Equity,BLUEPRINT MEDICINES CORP
BPMX,US Equity,BIOPHARMX CORP
BPOP,US Equity,Popular Inc.
BPT,US Equity,BP Prudhoe Bay Royalty Trust
BR,US Equity,Broadridge Financial Solutions Inc.
BRC,US Equity,Brady Corp.
BRCD,US Equity,Brocade Communications Systems Inc.
BREW,US Equity,Craft Brewers Alliance Inc.
BRG,US Equity,BLUEROCK RESIDENT GR REIT INC
BRK/B,US Equity,BERKSHIRE HATHAWAY INC
BRKL,US Equity,Brookline Bancorp Inc.
BRKR,US Equity,Bruker Corp.
BRKS,US Equity,Brooks Automation Inc.
BRN,US Equity,Barnwell Industries Inc.
BRO,US Equity,Brown & Brown Inc.
BRS,US Equity,Bristow Group Inc.
BRSS,US Equity,GLOBAL BRASS & COPPER HLDGS
BRT,US Equity,BRT Realty Trust
BRX,US Equity,BRIXMOR PPTY GROUP INC
BSET,US Equity,Bassett Furniture Industries Inc.
BSF,US Equity,Bear St Finl Inc
BSFT,US Equity,BROADSOFT INC
BSM,US Equity,BLACK STONE MINERALS L P
BSQR,US Equity,BSQUARE Corp.
BSRR,US Equity,Sierra Bancorp
BSTC,US Equity,BioSpecifics Technologies Corp.
BSX,US Equity,Boston Scientific Corp.
BTN,US Equity,Ballantyne of Omaha Inc.
BTUUQ,US Equity,Peabody Energy Corp.
BTX,US Equity,BioTime Inc.
BUFF,US Equity,BLUE BUFFALO PET PRODS INC
BURL,US Equity,BURLINGTON STORES INC
BUSE,US Equity,First Busey Corp.
BV,US Equity,Bazaarvoice Inc
BVSN,US Equity,Broadvision Inc.
BVX,US Equity,Bovie Medical Corp.
BW,US Equity,BABCOCK & WILCOX ENTERPRIS INC COM
BWA,US Equity,BorgWarner Inc.
BWEN,US Equity,BROADWIND ENERGY INC
BWFG,US Equity,BANKWELL FINL GROUP INC
BWINB,US Equity,Baldwin & Lyons Inc.
BWLD,US Equity,Buffalo Wild Wings Inc.
BWP,US Equity,Boardwalk Pipeline Partners LP
BWXT,US Equity,BWX Technologies Inc
BX,US Equity,Blackstone Group L.P.
BXC,US Equity,BlueLinx Holdings Inc.
BXMT,US Equity,Blackstone Mortgage Trust Inc
BXP,US Equity,Boston Properties Inc.
BXS,US Equity,BancorpSouth Inc.
