symbol,group,description
FGL,US Equity,FIDELITY & GTY LIFE
FGP,US Equity,Ferrellgas Partners L.P.
FHB,US Equity,FIRST HAWAIIAN INC
FHCO,US Equity,Female Health Co.
FHN,US Equity,First Horizon National Corp.
FIBK,US Equity,FIRST INTST BANCSYSTEM INC
FICO,US Equity,Fair Isaac Corp.
FIG,US Equity,Fortress Investment Group L.L.C.
FII,US Equity,Federated Investors Inc.
FINL,US Equity,Finish Line Inc.
FIS,US Equity,Fidelity National Information Services Inc.
FISI,US Equity,Financial Institutions Inc.
FISV,US Equity,Fiserv Inc.
FIT,US Equity,FITBIT INC
FITB,US Equity,Fifth Third Bancorp
FIVE,US Equity,FIVE BELOW INC
FIVN,US Equity,FIVE9 INC
FIX,US Equity,Comfort Systems USA Inc.
FIZZ,US Equity,National Beverage Corp.
FL,US Equity,Foot Locker Inc.
FLDM,US Equity,Fluidigm Corp Del
FLGT,US Equity,FULGENT GENETICS INC
FLIC,US Equity,First of Long Island Corp.
FLIR,US Equity,Flir Systems Inc.
FLKS,US Equity,FLEX PHARMA INC
FLL,US Equity,Full House Resorts Inc.
FLO,US Equity,Flowers Foods Inc.
FLOW,US Equity,SPX FLOW INC COM
FLR,US Equity,Fluor Corp.
FLS,US Equity,Flowserve Corp.
FLT,US Equity,FLEETCOR TECHNOLOGIES INC
FLWS,US Equity,1-800-FLOWERS.COM Inc.
FLXN,US Equity,FLEXION THERAPEUTICS INC
FLXS,US Equity,Flexsteel Industries Inc.
FMBI,US Equity,First Midwest Bancorp
FMC,US Equity,FMC Corp.
FMCC,US Equity,Freddie Mac
FMI,US Equity,FOUNDATION MEDICINE INC
FMSA,US Equity,FMSA HLDGS INC
FNB,US Equity,F.N.B. Corp.
FNBC,US Equity,FIRST NBC BK HLDG CO
FNCX,US Equity,Functionx Inc New
FNF,US Equity,Fidelity National Financial Inc.
FNGN,US Equity,FINANCIAL ENGINES INC
FNHC,US Equity,Federated Natl Hldg Co
FNLC,US Equity,First Bancorp Inc.
FNMA,US Equity,Fannie Mae
FNSR,US Equity,Finisar Corp.
FOE,US Equity,Ferro Corp.
FOGO,US Equity,FOGO DE CHAO INC
FOLD,US Equity,Amicus Therapeutics Inc.
FONR,US Equity,Fonar Corp.
FOR,US Equity,Forestar Group Inc.
FORD,US Equity,Forward Industries Inc.
FORM,US Equity,FormFactor Inc.
FORR,US Equity,Forrester Research Inc.
FOSL,US Equity,Fossil Inc.
FOXA,US Equity,Twenty-First Century Fox
FOXF,US Equity,FOX FACTORY HLDG CORP
FPI,US Equity,FARMLAND PARTNERS INC
FPO,US Equity,First Potomac Realty Trust
FPP,US Equity,FieldPoint Petroleum Corp.
FPRX,US Equity,FIVE PRIME THERAPEUTICS INC
FR,US Equity,First Industrial Realty Trust Inc.
FRAN,US Equity,FRANCESCAS HLDGS CORP
FRBK,US Equity,Republic First Bancorp Inc.
FRC,US Equity,FIRST REP BK SAN FRAN CALI N
FRD,US Equity,Friedman Industries Inc.
FRED,US Equity,Fred's Inc.
FRGI,US Equity,Fiesta Restaurant Group Inc
FRME,US Equity,First Merchants Corp.
FRP,US Equity,Fairpoint Communication
FRPH,US Equity,FRP Hldgs Inc
FRPT,US Equity,FRESHPET INC
FRSH,US Equity,PAPA MURPHYS HLDGS INC
FRT,US Equity,Federal Realty Investment Trust
FRTA,US Equity,FORTERRA INC
FSAM,US Equity,FIFTH STR ASSET MGMT INC
FSB,US Equity,FRANKLIN FINL NETWORK INC
FSBK,US Equity,First South Bancorp Inc.
FSC,US Equity,FIFTH STREET FINANCE CORP
FSIC,US Equity,FS INVT CORP
FSLR,US Equity,First Solar Inc.
FSNN,US Equity,Fusion Telecomm Intl Inc
FSP,US Equity,Franklin Street Properties Corp.
FSS,US Equity,Federal Signal Corp.
FSTR,US Equity,L.B. Foster Co.
FTAI,US Equity,FORTRESS TRANS INFRST INVS L
FTEK,US Equity,Fuel Tech Inc.
FTI,US Equity,FMC Technologies Inc.
FTK,US Equity,Flotek Industries Inc.
FTNT,US Equity,FORTINET INC
FTR,US Equity,Frontier Communications Corp.
FTV,US Equity,FORTIVE CORP
FUEL,US Equity,Rocket Fuel Inc
FUL,US Equity,H.B. Fuller Co.
FULT,US Equity,Fulton Financial Corp.
FUN,US Equity,Cedar Fair L.P. Dep Rec
FUNC,US Equity,First United Corp.
FUSB,US Equity,First Us Bancshares Inc
FVE,US Equity,Five Star Quality Care Inc.
FWRD,US Equity,Forward Air Corp.
FXCM,US Equity,FXCM INC
G,US Equity,Genpact Ltd.
GABC,US Equity,German American Bancorp Inc.
GAIA,US Equity,Gaia Inc New
GAIN,US Equity,Gladstone Investment Corp
GALE,US Equity,Galena Biopharma Inc
GALT,US Equity,GALECTIN THERAPEUTICS INC
GARS,US Equity,GARRISON CAP INC
GATX,US Equity,GATX Corp.
GBCI,US Equity,Glacier Bancorp Inc.
GBDC,US Equity,GOLUB CAP BDC INC
GBIM,US Equity,Globeimmune Inc
GBL,US Equity,GAMCO Investors Inc.
GBNK,US Equity,Guaranty Bancorp
GBSND,US Equity,GREAT BASIN SCIENTIFIC INC
GBT,US Equity,GLOBAL BLOOD THERAPEUTICS IN
GBX,US Equity,Greenbrier Cos.
GCAP,US Equity,GAIN CAP HLDGS INC
GCI,US Equity,GANNETT CO INC COM
GCO,US Equity,Genesco Inc.
GCP,US Equity,GCP APPLIED TECHNOLOGIES INC
GD,US Equity,General Dynamics Corp.
GDDY,US Equity,GODADDY INC
GDEN,US Equity,Golden Entertainment Inc
GDOT,US Equity,GREEN DOT CORP
GE,US Equity,General Electric Co.
GECX,US Equity,Great Elm Cap Group Inc
GEF,US Equity,Greif Inc.
GEL,US Equity,Genesis Energy L.P.
GEMP,US Equity,GEMPHIRE THERAPEUTICS INC
GEN,US Equity,Genesis Healthcare Inc
GENC,US Equity,Gencor Industries Inc.
GEOS,US Equity,OYO Geospace Corp.
GERN,US Equity,Geron Corp.
GES,US Equity,Guess? Inc.
GEVO,US Equity,GEVO INC
GFF,US Equity,Griffon Corp.
GGG,US Equity,Graco Inc.
GGP,US Equity,General Growth Properties Inc.
GHC,US Equity,Graham Holdings Co.
GHDX,US Equity,Genomic Health Inc.
GHL,US Equity,Greenhill & Co. Inc.
GHM,US Equity,Graham Corp.
GIFI,US Equity,Gulf Island Fabrication Inc.
GIG,US Equity,Gigpeak Inc
GIGA,US Equity,Giga-Tronics Inc.
GIII,US Equity,G-III Apparel Group Ltd.
GILD,US Equity,Gilead Sciences Inc.
GIMO,US Equity,GIGAMON INC
GIS,US Equity,General Mills Inc.
GK,US Equity,G&K Services Inc. Cl A
GKOS,US Equity,GLAUKOS CORP
GLAD,US Equity,GLADSTONE CAPITAL CO
GLBL,US Equity,TerraForm Global Inc
GLDD,US Equity,Great Lakes Dredge & Dock Corp.
GLF,US Equity,Gulfmark Offshore Inc.
GLP,US Equity,Global Partners LP
GLPI,US Equity,Gaming and Leisure Properties
GLPW,US Equity,GLOBAL POWER EQUIPMENT GRP
GLT,US Equity,Glatfelter
GLUU,US Equity,Glu Mobile Inc.
GLW,US Equity,Corning Inc.
GLYC,US Equity,GLYCOMIMETICS INC
GM,US Equity,General Motors Co.
GMAN,US Equity,GORDMANS STORES INC
GME,US Equity,GameStop Corp. Cl A
GMED,US Equity,GLOBUS MED INC
GMO,US Equity,General Moly Inc.
GMRE,US Equity,Global Med Reit Inc
GMS,US Equity,GMS INC
GNC,US Equity,GNC HLDGS INC
GNCA,US Equity,GENOCEA BIOSCIENCES INC
GNCMA,US Equity,General Communication Inc.
GNE,US Equity,GENIE ENERGY LTD
GNMK,US Equity,GENMARK DIAGNOSTICS INC
GNOW,US Equity,American Caresource Holdings Inc.
GNRT,US Equity,Gener8 Maritime Inc
GNTX,US Equity,Gentex Corp.
GNVC,US Equity,GenVec Inc.
GNW,US Equity,Genworth Financial Inc. Cl A
GOGO,US Equity,GOGO INC
GOLF,US Equity,ACUSHNET HOLDINGS CORP
GOOD,US Equity,Gladstone Commercial Corp.
GOOG,US Equity,Alphabet Inc Cl-C
GOV,US Equity,GOVERNMENT PPTYS INCOME TR
GPC,US Equity,Genuine Parts Co.
GPI,US Equity,Group 1 Automotive Inc.
GPK,US Equity,Graphic Packaging Holding Co.
GPN,US Equity,Global Payments Inc.
GPOR,US Equity,Gulfport Energy Corp.
GPP,US Equity,GREEN PLAINS PARTNERS LP
GPRE,US Equity,Green Plains Renewable Energy Inc.
GPRO,US Equity,GOPRO INC
GPS,US Equity,Gap Inc.
GPT,US Equity,Gramercy Ppty Tr
GRA,US Equity,W.R. Grace & Co.
GRBK,US Equity,Green Brick Partners In
GRC,US Equity,Gorman-Rupp Co.
GRIF,US Equity,Griffin Land & Nurseries Inc.
GROW,US Equity,U.S. Global Investors Inc.
GRPN,US Equity,GROUPON INC
GRUB,US Equity,GRUBHUB INC
GS,US Equity,Goldman Sachs Group Inc.
GSAT,US Equity,Globalstar Inc.
GSB,US Equity,GlobalSCAPE Inc.
GSBC,US Equity,Great Southern Bancorp Inc.
GSBD,US Equity,GOLDMAN SACHS BDC INC
GSIT,US Equity,GSI Technology Inc.
GST,US Equity,Gastar Exploration Ltd.
GSVC,US Equity,NEXT INNOVATION CORP
GT,US Equity,Goodyear Tire & Rubber Co.
GTLS,US Equity,Chart Industries Inc.
GTN,US Equity,Gray Television Inc.
GTXI,US Equity,GTx Inc.
GTY,US Equity,Getty Realty Corp.
GUID,US Equity,Guidance Software Inc.
GV,US Equity,Goldfield Corp.
GVA,US Equity,Granite Construction Inc.
GVP,US Equity,GSE Systems Inc.
GWB,US Equity,GREAT WESTN BANCORP INC
GWGH,US Equity,GWG HLDGS INC
GWR,US Equity,Genesee & Wyo Inc.
GWRE,US Equity,Guidewire Software Inc
GWRS,US Equity,Global Wtr Res Inc
GWW,US Equity,W.W. Grainger Inc.
GXP,US Equity,Great Plains Inc.
H,US Equity,HYATT HOTELS CORP
HA,US Equity,Hawaiian Holdings Inc.
HABT,US Equity,HABIT RESTAURANTS INC
HAE,US Equity,Haemonetics Corp.
HAFC,US Equity,Hanmi Financial Corp.
HAIN,US Equity,Hain Celestial Group Inc.
HAL,US Equity,Halliburton Co.
HALL,US Equity,Hallmark Financial Services Inc.
HALO,US Equity,Halozyme Therapeutics Inc.
HAR,US Equity,Harman International Industries Inc.
HAS,US Equity,Hasbro Inc.
HASI,US Equity,HANNON ARMSTRONG SUST INFR C
HAWK,US Equity,Blackhawk Network Hldgs
HAYN,US Equity,Haynes International Inc.
HBAN,US Equity,Huntington Bancshares Inc.
HBCP,US Equity,Home Bancorp Inc.
HBHC,US Equity,Hancock Holding Co.
HBI,US Equity,Hanesbrands Inc.
HBIO,US Equity,Harvard Bioscience Inc.
HBNC,US Equity,Horizon Bancorp
HCA,US Equity,HCA HOLDINGS INC
HCAP,US Equity,HARVEST CAP CR CORP
HCCI,US Equity,Heritage-Crystal Clean Inc.
HCHC,US Equity,Hc2 Hldgs Inc
HCI,US Equity,Hci Group Inc
HCKT,US Equity,Hackett Group Inc.
HCLP,US Equity,HI-CRUSH PARTNERS LP
HCN,US Equity,Health Care REIT Inc.
HCOM,US Equity,HAWAIIAN TELCOM HOLDCO INC
HCP,US Equity,HCP Inc.
HCSG,US Equity,Healthcare Services Group Inc.
HD,US Equity,Home Depot Inc.
HDNG,US Equity,Hardinge Inc.
HDP,US Equity,HORTONWORKS INC
HDS,US Equity,HD SUPPLY HLDGS INC
HDSN,US Equity,Hudson Technologies Inc.
HDYN,US Equity,Hyperdynamics Corp.
HE,US Equity,Hawaiian Electric Industries Inc.
HEAR,US Equity,Turtle Beach Corp
HEB,US Equity,Hemispherx Biopharma Inc
HEES,US Equity,H&E Equipment Services Inc.
HEI/A,US Equity,Heico Corp.
HELE,US Equity,Helen of Troy Corp.
HEOP,US Equity,Heritage Oaks Bancorp
HEP,US Equity,Holly Energy Partners L.P.
HES,US Equity,Hess Corp.
HF,US Equity,HFF Inc. Cl A
HFBC,US Equity,HopFed Bancorp Inc.
HFC,US Equity,HollyFrontier Corporation
HFWA,US Equity,Heritage Financial Corp.
HGG,US Equity,HHGregg Inc.
HGT,US Equity,Hugoton Royalty Trust Un
HH,US Equity,Hooper Holmes Inc.
HHC,US Equity,HOWARD HUGHES CORP COM
HHS,US Equity,Harte-Hanks Inc.
HI,US Equity,Hillenbrand Inc.
HIBB,US Equity,Hibbett Sports Inc.
HIFR,US Equity,INFRAREIT INC
HIG,US Equity,Hartford Financial Services Group Inc.
HII,US Equity,HUNTINGTON INGALLS INDS INC
HIIQ,US Equity,HEALTH INS INNOVATIONS INC
HIL,US Equity,Hill International Inc.
HIVE,US Equity,AEROHIVE NETWORKS INC
HIW,US Equity,Highwoods Properties Inc.
HK,US Equity,HALCON RESOURCES CORP
HL,US Equity,Hecla Mining Co.
HLF,US Equity,Herbalife Ltd.
HLI,US Equity,HOULIHAN LOKEY INC
HLIT,US Equity,Harmonic Inc.
HLS,US Equity,HealthSouth Corp.
HLT,US Equity,HILTON WORLDWIDE HLDGS INC
HLX,US Equity,Helix Energy Solutions Group Inc.
HMHC,US Equity,HOUGHTON MIFFLIN HARCOURT CO
HMN,US Equity,Horace Mann Educators Corp.
HMNF,US Equity,HMN Financial Inc.
HMST,US Equity,Homestreet Inc
HMSY,US Equity,HMS Holdings Corp.
HMTV,US Equity,HEMISPHERE MEDIA GROUP INC
HNGR,US Equity,Hanger Orthopedic Group Inc.
HNH,US Equity,Handy & Harmann Ltd.
HNI,US Equity,HNI Corp.
HNR,US Equity,Harvest Natural Resources In
HNRG,US Equity,HALLADOR ENERGY COMPANY
HOFT,US Equity,Hooker Furniture Corp.
HOG,US Equity,Harley-Davidson Inc.
HOLX,US Equity,Hologic Inc.
HOMB,US Equity,Home BancShares Inc.
HOME,US Equity,AT HOME GROUP INC
HON,US Equity,Honeywell International Inc.
HONE,US Equity,HARBORONE BANCORP INC
HOPE,US Equity,Hope Bancorp Inc
HOS,US Equity,Hornbeck Offshore Services Inc.
HOV,US Equity,Hovnanian Enterprises Inc.
HP,US Equity,Helmerich & Payne Inc.
HPE,US Equity,HEWLETT PACKARD ENTERPRISE C
HPP,US Equity,HUDSON PAC PPTYS INC
HPQ,US Equity,Hp Inc
HPT,US Equity,Hospitality Properties Trust
HQY,US Equity,HEALTHEQUITY INC
HR,US Equity,Healthcare Realty Trust Inc.
HRB,US Equity,H&R Block Inc.
HRC,US Equity,Hill-Rom Holdings Inc.
HRG,US Equity,Zapata Corp.
HRI,US Equity,Herc Hldgs Inc
HRL,US Equity,Hormel Foods Corp.
HRS,US Equity,Harris Corp.
HRT,US Equity,Arrhythmia Research Technology Inc.
HRTG,US Equity,HERITAGE INS HLDGS INC
HRZN,US Equity,Horizon Technology Finance Corp
HSC,US Equity,Harsco Corp.
HSGX,US Equity,HISTOGENICS CORP
HSIC,US Equity,Henry Schein Inc.
HSII,US Equity,Heidrick & Struggles International Inc.
HSKA,US Equity,Heska Corp.
HSNI,US Equity,HSN Inc.
HSON,US Equity,Hudson Global Inc
HST,US Equity,Host Hotels & Resorts Inc.
HSTM,US Equity,HealthStream Inc.
HSY,US Equity,Hershey Co.
HT,US Equity,Hersha Hospitality Trust (Cl A)
HTA,US Equity,HEALTHCARE TR AMER INC
HTBK,US Equity,Heritage Commerce Corp.
HTBX,US Equity,HEAT BIOLOGICS INC
HTGC,US Equity,Hercules Tech Growth
HTGM,US Equity,HTG MOLECULAR DIAGNOSTICS IN
HTH,US Equity,Hilltop Holdings Inc.
HTLD,US Equity,Heartland Express Inc.
HTLF,US Equity,Heartland Financial USA Inc.
HTM,US Equity,U.S. Geothermal Inc.
HTZ,US Equity,Hertz Global Holdings Inc
HUBB,US Equity,Hubbell Inc.
HUBG,US Equity,Hub Group Inc.
HUBS,US Equity,HUBSPOT INC
HUM,US Equity,Humana Inc.
HUN,US Equity,Huntsman Corp.
HURC,US Equity,Hurco Cos.
HURN,US Equity,Huron Consulting Group Inc.
HUSA,US Equity,Houston American Energy Corp.
HVT,US Equity,Haverty Furniture Cos. Inc.
HW,US Equity,Headwaters Inc.
HWAY,US Equity,Healthways Inc.
HWBK,US Equity,Hawthorn Bancshares Inc.
HWCC,US Equity,Houston Wire & Cable Co.
HWKN,US Equity,Hawkins Inc.
HXL,US Equity,Hexcel Corp.
HY,US Equity,HYSTER YALE MATLS HANDLING
HYH,US Equity,Halyard Health Inc
HZN,US Equity,Horizon Global Corp
HZNP,US Equity,HORIZON PHARMA INC
HZO,US Equity,MarineMax Inc.
IAC,US Equity,IAC/InterActiveCorp.
IART,US Equity,Integra LifeSciences Holdings Corp.
IBCP,US Equity,Independent Bank Corp. (Michigan)
IBKC,US Equity,IBERIABANK Corp.
IBKR,US Equity,Interactive Brokers Group Inc.
IBM,US Equity,International Business Machines Corp.
IBOC,US Equity,International Bancshares Corp.
IBP,US Equity,INSTALLED BLDG PRODS INC
IBTX,US Equity,INDEPENDENT BK GROUP INC
ICAD,US Equity,icad Inc.
ICBK,US Equity,COUNTY BANCORP INC
ICE,US Equity,IntercontinentalExchange Inc.
ICFI,US Equity,ICF International Inc.
ICLD,US Equity,INTERCLOUD SYS INC
ICON,US Equity,Iconix Brand Group Inc.
ICPT,US Equity,INTERCEPT PHARMACEUTICALS
ICUI,US Equity,ICU Medical Inc.
IDA,US Equity,IDACORP Inc.
IDCC,US Equity,InterDigital Inc.
IDN,US Equity,Intelli-Check-Mobilisa  Inc.
IDRA,US Equity,Idera Pharmaceuticals Inc.
IDSA,US Equity,Industrial Services of America Inc.
IDSY,US Equity,I.D. Systems Inc.
IDT,US Equity,IDT Corp. (Cl B)
IDTI,US Equity,Integrated Device Technology Inc.
IDXG,US Equity,Interpace Diagnostics Group
IDXX,US Equity,IDEXX Laboratories Inc.
IEC,US Equity,IEC Electronics Corp.
IEP,US Equity,Icahn Enterprises L.P.
IESC,US Equity,Ies Hldgs Inc
IEX,US Equity,IDEX Corp.
IFF,US Equity,International Flavors & Fragrances Inc.
IFMI,US Equity,Institutional Finl Mkts Inc
IFON,US Equity,InfoSonics Corp.
IHC,US Equity,Independence Holding Co.
III,US Equity,Information Services Group Inc.
IIIN,US Equity,Insteel Industries Inc.
IIN,US Equity,IntriCon Corp.
IIVI,US Equity,II-VI Inc.
IL,US Equity,INTRALINKS HLDGS INC
ILG,US Equity,Ilg Inc
ILMN,US Equity,Illumina Inc.
IMDZ,US Equity,IMMUNE DESIGN CORP
IMGN,US Equity,Immunogen Inc.
IMH,US Equity,IMPAC MTG HLDGS INC
IMI,US Equity,Intermolecular Inc
IMKTA,US Equity,Ingles Mkts Inc
IMMR,US Equity,Immersion Corp.
IMMU,US Equity,Immunomedics Inc.
IMMY,US Equity,IMPRIMIS PHARMACEUTICALS INC
IMN,US Equity,Imation Corp.
IMPV,US Equity,IMPERVA INC
IMUC,US Equity,Immunocellular Therapeutics
INAP,US Equity,InterNAP Network Services Corp.
INBK,US Equity,First Internet Banco
INCR,US Equity,Inc Resh Hldgs Inc
INCY,US Equity,Incyte Corp.
INDB,US Equity,Independent Bank Corp.
INFI,US Equity,Infinity Pharmaceuticals Inc.
INFN,US Equity,Infinera Corp.
INFU,US Equity,Infusystems Holdings
INGN,US Equity,INOGEN INC
INGR,US Equity,Ingredion Incorporated
INN,US Equity,SUMMIT HOTEL PPTYS INC
INO,US Equity,Inovio Biomedical Corp.
INOD,US Equity,Innodata Isogen Inc.
INOV,US Equity,INOVALON HLDGS INC
INSG,US Equity,Inseego Corp
INSM,US Equity,Insmed Inc.
INST,US Equity,INSTRUCTURE INC
INSY,US Equity,INSYS THERAPEUTICS INC NEW
INT,US Equity,World Fuel Services Corp.
INTC,US Equity,Intel Corp.
INTL,US Equity,International Assets Holding Corp.
INTT,US Equity,Intest Corp.
INTU,US Equity,Intuit Inc.
INTX,US Equity,Intersections Inc.
INUV,US Equity,Inuvo Inc.
INVA,US Equity,Innoviva Inc
INVE,US Equity,Identive Group Inc
INVN,US Equity,INVENSENSE INC
INVT,US Equity,Inventergy Global Inc
INWK,US Equity,InnerWorkings Inc.
IO,US Equity,ION Geophysical Corp.
IONS,US Equity,Ionis Pharmaceuticals Inc
IOSP,US Equity,INNOSPEC INC
IOTS,US Equity,ADESTO TECHNOLOGIES CORP
IP,US Equity,International Paper Co.
IPAR,US Equity,Inter Parfums Inc.
IPAS,US Equity,iPass Inc.
IPCC,US Equity,Infinity Property & Casualty Corp.
IPDN,US Equity,PROFESSIONAL DIVERSITY NET
IPG,US Equity,Interpublic Group of Cos.
IPGP,US Equity,IPG Photonics Corp.
IPHI,US Equity,INPHI CORP
IPHS,US Equity,Innophos Holdings Inc.
IPI,US Equity,Intrepid Potash Inc.
IPWR,US Equity,IDEAL PWR INC
IPXL,US Equity,IMPAX LABORATORIES I
IQNT,US Equity,INTELIQUENT INC
IRBT,US Equity,iRobot Corp.
IRDM,US Equity,IRIDIUM COMMUNICATIONS INC
IRET,US Equity,Investors Real Estate Trust
IRG,US Equity,IGNITE RESTAURANT GROUP INC
IRIX,US Equity,Iridex Corp.
IRM,US Equity,Iron Mountain Inc.
IRMD,US Equity,IRADIMED CORP
IRT,US Equity,INDEPENDENCE RLTY TR INC
IRTC,US Equity,IRHYTHM TECHNOLOGIES INC
IRWD,US Equity,IRONWOOD PHARMACEUTICALS INC
ISBC,US Equity,Investors Bancorp Inc.
ISCA,US Equity,International Speedway Corp.
ISIG,US Equity,Insignia Systems Inc.
ISIL,US Equity,Intersil Corp. Cl A
ISLE,US Equity,Isle of Capri Casinos Inc.
ISNS,US Equity,Image Sensing Systems Inc.
ISR,US Equity,IsoRay Inc.
ISRG,US Equity,Intuitive Surgical Inc.
ISRL,US Equity,Isramco Inc.
ISSC,US Equity,Innovative Solutions & Support Inc.
ISTR,US Equity,INVESTAR HLDG CORP
IT,US Equity,Gartner Inc.
ITEK,US Equity,INOTEK PHARMACEUTICALS CORP
ITG,US Equity,Investment Technology Group Inc.
ITGR,US Equity,Integer Hldgs Corp
ITI,US Equity,Iteris Inc.
ITIC,US Equity,Investors Title Co.
ITRI,US Equity,Itron Inc.
ITT,US Equity,Itt Inc
ITUS,US Equity,Copytele Inc.
ITW,US Equity,Illinois Tool Works Inc.
IVAC,US Equity,Intevac Inc.
IVC,US Equity,Invacare Corp.
IVR,US Equity,INVESCO MORTGAGE CAPITAL INC
IVTY,US Equity,INVUITY INC
IVZ,US Equity,INVESCO Ltd.
IXYS,US Equity,IXYS Corp.
JACK,US Equity,Jack in the Box Inc.
JAGX,US Equity,JAGUAR ANIMAL HEALTH INC
JAKK,US Equity,JAKKS Pacific Inc.
JAX,US Equity,J Alexanders Hldgs Inc
JBHT,US Equity,J.B. Hunt Transport Services Inc.
JBL,US Equity,Jabil Circuit Inc.
JBLU,US Equity,JetBlue Airways Corp.
JBSS,US Equity,John B. Sanfilippo & Son Inc.
JBT,US Equity,John Bean Technologies Corp.
JCAP,US Equity,JERNIGAN CAP INC
JCI,US Equity,Johnson Ctls Intl Plc
JCOM,US Equity,j2 Global Communications Inc.
JCP,US Equity,J.C. Penney Co. Inc.
JCS,US Equity,Communications Systems Inc.
JEC,US Equity,Jacobs Engineering Group Inc.
JGWE,US Equity,JGWPT HLDGS INC
JIVE,US Equity,JIVE SOFTWARE INC
JJSF,US Equity,J&J Snack Foods Corp.
JKHY,US Equity,Jack Henry & Associates Inc.
JLL,US Equity,Jones Lang LaSalle Inc.
JMBA,US Equity,Jamba Inc.
JMP,US Equity,JMP Group Corp.
JNJ,US Equity,Johnson & Johnson
JNP,US Equity,Juniper Pharmaceuticals Inc
JNPR,US Equity,Juniper Networks Inc.
JNS,US Equity,Janus Capital Group Inc.
JOB,US Equity,Gee Group Inc
JOE,US Equity,St. Joe Co.
JONE,US Equity,JONES ENERGY INC
JOUT,US Equity,Johnson Outdoors Inc.
JOY,US Equity,Joy Global Inc.
JPEP,US Equity,JP ENERGY PARTNERS LP
JPM,US Equity,JPMorgan Chase & Co.
JSDA,US Equity,Jones Soda Co.
JUNO,US Equity,JUNO THERAPEUTICS INC
JVA,US Equity,Coffee Holding Co. Inc.
JW/A,US Equity,John Wiley & Sons Inc.
JWN,US Equity,Nordstrom Inc.
JYNT,US Equity,JOINT CORP
K,US Equity,Kellogg Co.
KAI,US Equity,Kadant Inc.
KALU,US Equity,Kaiser Aluminum Corp.
KALV,US Equity,Kalvista Pharmaceuticals Inc
KAMN,US Equity,Kaman Corp.
KAR,US Equity,KAR AUCTION SVCS INC
KATE,US Equity,Kate Spade & Co
KBAL,US Equity,Kimball International Inc.
KBH,US Equity,KB Home
KBR,US Equity,KBR Inc.
KCAP,US Equity,KCAP FINL INC
KCLI,US Equity,Kansas City Life Ins Co
KDMN,US Equity,KADMON HLDGS LLC
KE,US Equity,KIMBALL ELECTRONICS INC
KELYA,US Equity,Kelly Services Inc.
KEM,US Equity,KEMET CORP
KEQU,US Equity,Kewaunee Scientific Corp.
KERX,US Equity,Keryx Biopharmaceuticals Inc.
KEX,US Equity,Kirby Corp.
KEY,US Equity,KeyCorp
KEYS,US Equity,KEYSIGHT TECHNOLOGIES INC
KEYW,US Equity,KEYW HLDG CORP
KFRC,US Equity,Kforce Inc.
KFY,US Equity,Korn/Ferry International
KHC,US Equity,Kraft Heinz Company
KIM,US Equity,Kimco Realty Corp.
KIN,US Equity,Kindred Biosciences Inc
KIRK,US Equity,Kirkland's Inc.
KITE,US Equity,KITE PHARMA INC
KLAC,US Equity,KLA-Tencor Corp.
KLIC,US Equity,Kulicke & Soffa Industries Inc.
KLXI,US Equity,KLX INC
KMB,US Equity,Kimberly-Clark Corp.
KMG,US Equity,KMG Chemicals Inc.
KMI,US Equity,KINDER MORGAN INC DEL
KMPH,US Equity,KEMPHARM INC
KMPR,US Equity,Kemper Corp Del
KMT,US Equity,Kennametal Inc.
KMX,US Equity,CarMax Inc.
KN,US Equity,Knowles Corp.
KND,US Equity,Kindred Healthcare Inc.
KNL,US Equity,Knoll Inc.
KNSL,US Equity,KINSALE CAP GROUP INC
KNX,US Equity,Knight Transportation Inc.
KO,US Equity,Coca-Cola Co.
KODK,US Equity,EASTMAN KODAK CO
KONA,US Equity,Kona Grill Inc.
KOOL,US Equity,ThermoGenesis Corp.
KOP,US Equity,Koppers Holdings Inc.
KOPN,US Equity,Kopin Corp.
KOSS,US Equity,Koss Corp.
KR,US Equity,Kroger Co.
KRA,US Equity,KRATON PERFORMANCE POLYMERS
KRC,US Equity,Kilroy Realty Corp.
KRG,US Equity,Kite Realty Group Trust
KRNY,US Equity,Kearny Financial Corp.
KRO,US Equity,Kronos Worldwide Inc.
KS,US Equity,KapStone Paper & Packaging Corp.
KSS,US Equity,Kohl's Corp.
KSU,US Equity,Kansas City Southern
KTCC,US Equity,Key Tronic Corp.
KTEC,US Equity,Key Technology Inc.
KTOS,US Equity,Kratos Defense & Security Solutions Inc.
KTWO,US Equity,K2m Group Hldgs Inc
KURA,US Equity,KURA ONCOLOGY INC
KVHI,US Equity,KVH Industries Inc.
KW,US Equity,KENNEDY-WILSON HLDGS INC
KWR,US Equity,Quaker Chemical Corp.
L,US Equity,Loews Corp.
LABL,US Equity,Multi-Color Corp.
LAD,US Equity,Lithia Motors Inc.
LADR,US Equity,LADDER CAP CORP
LAKE,US Equity,Lakeland Industries Inc.
LAMR,US Equity,Lamar Advertising Co.
LANC,US Equity,Lancaster Colony Corp.
LAND,US Equity,GLADSTONE LD CORP
LAWS,US Equity,Lawson Products Inc.
LAYN,US Equity,Layne Christensen Co.
LAZ,US Equity,Lazard Ltd.
LB,US Equity,L Brands Inc.
LBAI,US Equity,Lakeland Bancorp Inc.
LBRDA,US Equity,LIBERTY BROADBAND CORP
LBY,US Equity,Libbey Inc.
LCI,US Equity,Lannett Co. Inc.
